Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
NMF_MaxTypeChecks4;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;76546048
NMF_MaxTypeChecks4;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;221236100
NMF_MaxTypeChecks4;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;80609280
NMF_MaxTypeChecks4;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;452451000
NMF_MaxTypeChecks4;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks4;GeneratedI8O2Seed68.ttmodel;0;Load;Time;110263400
NMF_MaxTypeChecks4;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86769664
NMF_MaxTypeChecks4;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1486548200
NMF_MaxTypeChecks4;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;170524672
NMF_MaxTypeChecks4;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;455299800
NMF_MaxTypeChecks4;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks4;GeneratedI8O4Seed68.ttmodel;0;Load;Time;120181100
NMF_MaxTypeChecks4;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;89653248
NMF_MaxTypeChecks4;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;1749671800
NMF_MaxTypeChecks4;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;171180032
NMF_MaxTypeChecks4;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;481154700
NMF_MaxTypeChecks4;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;75366400
NMF_MaxTypeChecks4;GeneratedI10O2Seed68.ttmodel;0;Load;Time;483331500
NMF_MaxTypeChecks4;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;144310272
NMF_MaxTypeChecks4;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;5713973700
NMF_MaxTypeChecks4;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;308928512
NMF_MaxTypeChecks4;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;452301700
NMF_MaxTypeChecks4;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;75366400
NMF_MaxTypeChecks4;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;1905584500
NMF_MaxTypeChecks4;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;201183232
NMF_MaxTypeChecks4;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;39363270500
NMF_MaxTypeChecks4;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;859607040
NMF_MaxTypeChecks4;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;414047800
NMF_MaxTypeChecks4;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks4;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7015304900
NMF_MaxTypeChecks4;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;382857216
NMF_MaxTypeChecks4;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1424671603900
NMF_MaxTypeChecks4;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;2021941248
NMF_MaxTypeChecks5;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;701271200
NMF_MaxTypeChecks5;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;75104256
NMF_MaxTypeChecks5;GeneratedI4O2Seed42.ttmodel;0;Load;Time;28322600
NMF_MaxTypeChecks5;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;76677120
NMF_MaxTypeChecks5;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;230821800
NMF_MaxTypeChecks5;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;80871424
NMF_MaxTypeChecks5;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;457215500
NMF_MaxTypeChecks5;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks5;GeneratedI8O2Seed68.ttmodel;0;Load;Time;108969800
